Channel;Broadcastingdate;Exactspotbroadcastingtime;GRPmen;ContactsMen;NetCost
LCI;19/12/16;05:55:10;0,014252;8262;12,06
LCI;19/12/16;06:20:49;0,04751;27543;47,57
LCI;19/12/16;09:28:08;0,046955;27222;26,69
LCI;19/12/16;11:29:29;0,049876;28915;30,23
LCI;19/12/16;11:58:28;0,062805;36411;37,67
LCI;19/12/16;13:56:10;0,142106;82385;41,98
LCI;19/12/16;14:17:09;0,062357;36151;31,53
LCI;19/12/16;15:27:38;0,019464;11284;15,52
LCI;19/12/16;21:25:16;0,045238;26226;31,27
LCI;20/12/16;05:58:04;0,017129;9930;15,61
LCI;20/12/16;12:55:18;0,057331;33237;61,43
LCI;20/12/16;13:40:56;0,070496;40869;58,66
LCI;20/12/16;14:22:46;0,066079;38309;30,69
LCI;20/12/16;17:28:43;0,05255;30465;19,87
LCI;20/12/16;21:29:27;0,034059;19745;34,53
LCI;21/12/16;07:21:47;0,070508;40876;68,42
LCI;21/12/16;07:40:48;0,077332;44832;50,05
LCI;21/12/16;09:54:50;0,044073;25551;12,66
LCI;21/12/16;12:55:19;0,043316;25112;25,42
LCI;21/12/16;12:59:12;0,04821;27949;24,76
LCI;21/12/16;14:26:12;0,053238;30864;31,91
LCI;22/12/16;07:22:05;0,07286;42240;48
LCI;22/12/16;10:58:02;0,047846;27738;17,51
LCI;22/12/16;12:55:21;0,067904;39367;36,34
LCI;22/12/16;12:57:50;0,075921;44014;38,17
LCI;22/12/16;14:19:46;0,090804;52643;48,14
LCI;22/12/16;16:59:10;0,064586;37443;37,26
LCI;22/12/16;20:12:33;0,048783;28281;41,74
LCI;23/12/16;07:22:41;0,057002;33046;55,12
LCI;23/12/16;09:54:34;0,05789;33561;21,96
LCI;23/12/16;17:51:14;0,043946;25477;17,79
LCI;23/12/16;14:57:48;0,047873;27754;35,25
LCI;23/12/16;17:53:53;0,047874;27754;18,32
LCI;23/12/16;20:57:26;0,048819;28302;31,25
LCI;24/12/16;11:56:38;0,073731;42745;41,39
LCI;24/12/16;14:28:51;0,035801;20755;27,12
LCI;25/12/16;06:17:06;0,011432;6628;13,75
LCI;25/12/16;07:28:17;0,069531;40310;34,28
LCI;25/12/16;09:57:16;0,068421;39666;42,3
LCI;25/12/16;11:15:49;0,050413;29226;41,54
LCI;25/12/16;12:57:38;0,053386;30950;23,51
LCI;25/12/16;13:45:57;0,065149;37769;49,27
LCI;25/12/16;16:40:11;0,046672;27058;14,65
LCI;25/12/16;21:58:21;0,052275;30306;45,1
LCI;26/12/16;15:50:08;0,041721;24187;22,14
LCI;26/12/16;17:50:53;0,049876;28915;30,23
LCI;26/12/16;13:33:50;0,076853;44555;27,99
LCI;26/12/16;13:41:58;0,142106;82385;41,98
LCI;26/12/16;14:58:41;0,020587;11935;9,83
LCI;26/12/16;15:56:07;0,016402;9509;12,96
LCI;26/12/16;16:56:13;0,050393;29215;21,85
LCI;26/12/16;19:55:18;0,087156;50528;52,87
LCI;26/12/16;21:54:06;0,045592;26432;26,4
LCI;27/12/16;05:55:29;0,017396;10085;9,32
LCI;27/12/16;08:39:03;0,070876;41090;41,09
LCI;27/12/16;09:28:54;0,032796;19013;22,88
LCI;27/12/16;09:55:26;0,04349;25213;14,7
LCI;27/12/16;10:27:27;0,04879;28286;18,12
LCI;27/12/16;12:28:29;0,065852;38177;58,4
LCI;27/12/16;16:27:31;0,031354;18177;21,29
LCI;27/12/16;17:27:48;0,05255;30465;19,87
LCI;27/12/16;20:58:35;0,062859;36442;46,1
LCI;28/12/16;10:59:18;0,048944;28375;26,94
LCI;29/12/16;11:59:06;0,049067;28446;27,06
LCI;29/12/16;13:56:43;0,137038;79446;52,41
LCI;29/12/16;15:59:17;0,046455;26932;37,59
LCI;30/12/16;07:21:07;0,085042;49302;84,12
LCI;30/12/16;07:41:47;0,057002;33046;55,12
LCI;30/12/16;09:57:24;0,05789;33561;21,96
LCI;30/12/16;12:58:36;0,070022;40595;44,7
LCI;30/12/16;13:55:46;0,086219;49985;19,34
LCI;30/12/16;15:56:42;0,036274;21029;0,5
LCI;31/12/16;05:58:11;0,025777;14944;6,96
LCI;31/12/16;07:27:12;0,056363;32676;57,47
LCI;31/12/16;08:54:58;0,07901;45805;60,75
LCI;31/12/16;09:28:44;0,099632;57761;85,89
LCI;31/12/16;10:58:40;0,040082;23237;22,38
LCI;31/12/16;12:29:10;0,057148;33131;31,27
LCI;31/12/16;12:57:15;0,044685;25906;27,68
LCI;31/12/16;12:58:13;0,081992;47534;35,53
LCI;31/12/16;13:54:46;0,073478;42598;0,5
LCI;31/12/16;20:58:52;0,053873;31232;0,5
LCI;01/01/17;06:56:30;0,035828;20771;14,75
LCI;01/01/17;11:58:44;0,070035;40602;15,23
LCI;01/01/17;13:48:36;0,063749;36958;38,05
LCI;01/01/17;14:58:25;0,055454;32149;32,92
LCI;01/01/17;17:58:15;0,058706;34034;17,98
LCI;01/01/17;21:29:05;0,044058;25542;25,81
LCI;02/01/17;05:55:28;0,023509;13629;8,16
LCI;02/01/17;08:42:22;0,090587;52517;90,53
LCI;02/01/17;11:57:11;0,052439;30401;27,4
LCI;02/01/17;12:56:32;0,055045;31912;28,42
LCI;02/01/17;13:29:09;0,052725;30567;29,11
LCI;02/01/17;13:53:22;0,11857;68740;37,63
LCI;02/01/17;14:16:50;0,058033;33644;15,23
LCI;02/01/17;14:56:58;0,03974;23039;6,17
LCI;02/01/17;16:57:50;0,042987;24921;10,11
LCI;02/01/17;18:09:45;0,239254;138705;32,95
LCI;02/01/17;18:46:15;0,312635;181247;69,5
LCI;02/01/17;19:28:14;0,2889;167487;71,8
LCI;02/01/17;19:50:01;0,204976;118833;63,84
LCI;02/01/17;19:51:08;0,134103;77745;57,99
LCI;03/01/17;05:56:15;0,022251;12900;7,49
LCI;03/01/17;13:55:32;0,114293;66260;18,28
LCI;03/01/17;15:57:42;0,019448;11275;9,96
LCI;03/01/17;16:28:01;0,029691;17213;25,34
LCI;03/01/17;16:56:33;0,03276;18992;18,69
LCI;03/01/17;17:54:02;0,037912;21979;13,76
LCI;03/01/17;18:11:29;0,194251;112615;40,52
LCI;03/01/17;18:12:52;0,241144;139801;38,39
LCI;03/01/17;18:45:29;0,241144;139801;38,39
LCI;03/01/17;18:47:37;0,294918;170976;36,11
LCI;03/01/17;19:28:42;0,214743;124495;54,77
LCI;03/01/17;19:50:48;0,214743;124495;54,77
LCI;04/01/17;08:58:37;0,058606;33976;37,77
LCI;04/01/17;12:55:40;0,05025;29132;22,07
LCI;04/01/17;12:59:00;0,055929;32424;21,09
LCI;04/01/17;14:54:12;0,053874;31233;36,26
LCI;04/01/17;14:58:01;0,046198;26783;32,39
LCI;04/01/17;16:55:03;0,036934;21412;15,59
LCI;04/01/17;17:30:06;0,034874;20218;11,03
LCI;04/01/17;17:54:34;0,044263;25661;10,91
LCI;04/01/17;18:12:20;0,212354;123110;48,92
LCI;04/01/17;18:42:04;0,212354;123110;49,9
LCI;04/01/17;18:46:19;0,283213;164190;79,54
LCI;04/01/17;19:26:38;0,297949;172733;78,17
LCI;04/01/17;19:28:14;0,246102;142675;82,03
LCI;04/01/17;19:49:37;0,246102;142675;82,03
LCI;04/01/17;19:52:44;0,149362;86591;63,04
LCI;05/01/17;10:13:30;0,054028;31322;10,67
LCI;05/01/17;11:57:59;0,056396;32695;18,27
LCI;05/01/17;12:54:53;0,039161;22703;15,3
LCI;05/01/17;13:29:21;0,055166;31982;13,7
LCI;05/01/17;14:59:32;0,045046;26115;24,4
LCI;05/01/17;16:57:53;0,035626;20654;10,63
LCI;05/01/17;18:08:03;0,197011;114215;26,7
LCI;05/01/17;18:45:12;0,20977;121612;30,17
LCI;05/01/17;18:44:15;0,29176;169145;45,56
LCI;05/01/17;19:30:21;0,287853;166880;96,1
LCI;05/01/17;19:29:08;0,199669;115756;64,96
LCI;05/01/17;19:47:34;0,199669;115756;64,96
LCI;06/01/17;13:27:21;0,042005;24352;21,01
LCI;06/01/17;14:15:45;0,063423;36769;39,76
LCI;06/01/17;15:58:39;0,035864;20792;25,31
LCI;06/01/17;17:27:42;0,028901;16755;15,13
LCI;06/01/17;17:29:16;0,025812;14964;10,55
LCI;06/01/17;17:52:41;0,021151;12262;9,84
LCI;06/01/17;18:10:33;0,169838;98462;31,77
LCI;06/01/17;18:11:41;0,197599;114556;40,97
LCI;06/01/17;18:47:25;0,271539;157422;56,29
LCI;06/01/17;19:25:46;0,278423;161413;67,56
LCI;06/01/17;19:29:24;0,222386;128926;54,38
